Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
POF1B,-0.061389999999999965,0.7735475180860705,0.76953125,10,0.8965702685946285,0.8933254076086956,False,False,down
DDX25,-0.026624999999999996,0.7748205342615191,0.7421875,8,0.8973802469235406,0.8768321349557522,False,False,down
TCN1,-0.026911111111111104,0.7751685495311048,0.8203125,9,0.8973802469235406,0.9312940906455354,False,False,down
TPT1,-0.06962222222222218,0.7752244347429549,0.91015625,9,0.8973802469235406,0.9771010014435222,False,False,down
ENOPH1,-0.046329999999999996,0.7754685279850002,0.845703125,10,0.8973802469235406,0.9341218797010155,False,False,down
APOBR,0.024119999999999992,0.7764790926354034,0.845703125,10,0.8976464483287354,0.9341218797010155,False,False,up
KLK15,-0.04657,0.7765832768159902,0.921875,10,0.8976464483287354,0.9771010014435222,False,False,down
FGR,-0.04474444444444444,0.7766154665316025,0.8203125,9,0.8976464483287354,0.9312940906455354,False,False,down
LSP1,-0.08733750000000001,0.7773272760368923,1.0,8,0.8977864118778777,1.0,False,False,down
MYOM1,0.027788888888888887,0.7775818789452059,1.0,9,0.8977864118778777,1.0,False,False,up
MYH7B,0.05836666666666665,0.7776536029340555,0.8203125,9,0.8977864118778777,0.9312940906455354,False,False,up
LPO,-0.029511111111111116,0.7780786183172251,0.734375,9,0.8979241265216856,0.8768321349557522,False,False,down
KDR,0.015733333333333335,0.7785528230216745,0.734375,9,0.8981184765179332,0.8768321349557522,False,False,up
IL20,0.06420000000000001,0.779474744381095,0.91015625,9,0.8988115145563644,0.9771010014435222,False,False,up
PCDH1,0.01503000000000001,0.7797656585255759,0.556640625,10,0.8988115145563644,0.7765451147426982,False,False,up
IL2RB,0.05825555555555558,0.7801401232294315,0.734375,9,0.8988903656040959,0.8768321349557522,False,False,up
SLIRP,0.04721111111111114,0.780642431310665,0.91015625,9,0.899116400297813,0.9771010014435222,False,False,up
DDX1,0.0679,0.7832161638617554,0.625,10,0.9012465850509456,0.8251221333979328,False,False,up
LIFR,-0.03468749999999998,0.7833916060456965,0.84375,8,0.9012465850509456,0.9341218797010155,False,False,down
RGMA,0.01098999999999999,0.7834279635313925,1.0,10,0.9012465850509456,1.0,False,False,up
FGF21,-0.06498999999999988,0.7837193660946936,0.921875,10,0.9012465850509456,0.9771010014435222,False,False,down
TPRKB,-0.05997777777777776,0.7841337437027796,0.42578125,9,0.9013701781820209,0.6793829129823151,False,False,down
FOLR3,0.026022222222222318,0.7857781882576514,0.91015625,9,0.9024248421426238,0.9771010014435222,False,False,up
EPHB4,0.018329999999999985,0.785878849352466,0.6953125,10,0.9024248421426238,0.8562401729559749,False,False,up
SHH,0.06044000000000001,0.7859730153901368,0.845703125,10,0.9024248421426238,0.9341218797010155,False,False,up
APOL1,0.048788888888888916,0.7863438590823486,0.1640625,9,0.9024978171648527,0.39822443181818185,False,False,up
SAT2,0.049911111111111114,0.7868055782973912,0.91015625,9,0.9026749935388428,0.9771010014435222,False,False,up
CRISP2,0.01564999999999999,0.788183164915717,0.556640625,10,0.9036284574707047,0.7765451147426982,False,False,up
AKR7L,-0.032250000000000015,0.788251994565865,0.76953125,10,0.9036284574707047,0.8933254076086956,False,False,down
SDC1,-0.031733333333333294,0.7889408294854083,0.8203125,9,0.9038806979167202,0.9312940906455354,False,False,down
SLAMF7,-0.07437499999999998,0.7890875415248453,0.84375,8,0.9038806979167202,0.9341218797010155,False,False,down
CFHR4,-0.013680000000000003,0.789401984510297,0.625,10,0.9038883541936616,0.8251221333979328,False,False,down
GART,0.02604444444444445,0.789765933442203,1.0,9,0.9039526681682581,1.0,False,False,up
VSTM2L,0.0804333333333333,0.7901478801406822,0.42578125,9,0.9040375239474808,0.6793829129823151,False,False,up
IL6ST,0.02228888888888889,0.7912047020295182,0.734375,9,0.9048941627183392,0.8768321349557522,False,False,up
LTO1,0.0698111111111111,0.7920375880895788,0.5703125,9,0.9054941207548046,0.7765451147426982,False,False,up
NECAP2,0.057624999999999996,0.7923524029233809,1.0,8,0.9055015592941517,1.0,False,False,up
LETM1,0.039599999999999996,0.7940053813390201,1.0,9,0.9070376526614943,1.0,False,False,up
SLC34A3,0.06890000000000002,0.7946592014430522,0.734375,9,0.907431599781588,0.8768321349557522,False,False,up
UBQLN3,0.034312500000000024,0.7954095625592499,0.9453125,8,0.9079354392679817,0.987685098719317,False,False,up
MMP8,-0.1412299999999999,0.7960411223176463,0.193359375,10,0.9083033318752631,0.4478007903981265,False,False,down
CCDC80,-0.024577777777777792,0.7967113290092127,0.91015625,9,0.908407920429775,0.9771010014435222,False,False,down
CLEC12A,0.04581999999999999,0.7967513799887983,0.556640625,10,0.908407920429775,0.7765451147426982,False,False,up
ADAMTS4,-0.07695999999999996,0.7975479126702962,0.921875,10,0.9086945696284771,0.9771010014435222,False,False,down
DSCAM,-0.03297777777777776,0.7977676807913789,1.0,9,0.9086945696284771,1.0,False,False,down
CBLIF,-0.018844444444444435,0.7980059797024182,0.91015625,9,0.9086945696284771,0.9771010014435222,False,False,down
BEX3,-0.07548888888888886,0.7983974263311557,0.65234375,9,0.9086945696284771,0.8251221333979328,False,False,down
HCG22,-0.06308749999999999,0.7985497733098739,0.9453125,8,0.9086945696284771,0.987685098719317,False,False,down
CSNK2A1,-0.0639111111111111,0.7990319248057955,0.91015625,9,0.908891077906515,0.9771010014435222,False,False,down
