Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
EPHB6,0.08951111111111111,0.33632038241878115,1.0,9,0.9898389461302447,1.0,False,False,up
DCLRE1C,0.14740000000000003,0.33648640161460225,0.359375,9,0.9898389461302447,0.97517578125,False,False,up
PTPRZ1,0.18203,0.33649567386195084,0.556640625,10,0.9898389461302447,0.986577545700309,False,False,up
PLAUR,0.15206,0.3373104504141907,0.275390625,10,0.9898389461302447,0.97517578125,False,False,up
CASP8,-0.24397000000000002,0.3373519984049679,0.275390625,10,0.9898389461302447,0.97517578125,False,False,down
RAB44,0.2736,0.3375870818818127,0.845703125,10,0.9898389461302447,1.0,False,False,up
NEDD4L,-0.20265555555555556,0.3376061591484748,0.42578125,9,0.9898389461302447,0.97517578125,False,False,down
GABRA4,-0.222125,0.33843622220941255,0.640625,8,0.9898389461302447,0.986577545700309,False,False,down
SSC4D,-0.14161111111111108,0.33886785178679446,0.5703125,9,0.9898389461302447,0.986577545700309,False,False,down
CLGN,0.3456,0.33909171001343313,0.8125,7,0.9898389461302447,1.0,False,False,up
CDH6,0.11186666666666671,0.3392093543499226,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
PROS1,0.11447999999999998,0.33949943510997777,0.6953125,10,0.9898389461302447,1.0,False,False,up
PTX3,-0.18648750000000003,0.34027146726960866,0.546875,8,0.9898389461302447,0.986577545700309,False,False,down
APOH,-0.08063000000000002,0.3404199929517616,0.275390625,10,0.9898389461302447,0.97517578125,False,False,down
GRK5,-0.19752222222222227,0.3407151518097123,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,down
PRSS27,0.09098888888888888,0.3411836908563717,0.30078125,9,0.9898389461302447,0.97517578125,False,False,up
ADAMTS8,-0.09812222222222224,0.3412651956970286,0.359375,9,0.9898389461302447,0.97517578125,False,False,down
CDKN1A,-0.37451,0.341279742594606,0.375,10,0.9898389461302447,0.97517578125,False,False,down
CTRL,0.18901000000000007,0.34153267412785476,0.375,10,0.9898389461302447,0.97517578125,False,False,up
FDX1,-0.2252333333333333,0.34175919237246094,0.49609375,9,0.9898389461302447,0.986577545700309,False,False,down
PTPRK,0.08363000000000001,0.34215057026106277,0.431640625,10,0.9898389461302447,0.97517578125,False,False,up
NELL2,-0.08073,0.342196699911075,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
CD200R1,-0.05558750000000001,0.3425412299143345,0.3125,8,0.9898389461302447,0.97517578125,False,False,down
CEP152,0.2696333333333334,0.3425430814354287,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
PFDN6,-0.27240000000000003,0.34255839801056426,0.46875,7,0.9898389461302447,0.986577545700309,False,False,down
ADGRE2,-0.10117999999999996,0.3426922798606933,0.556640625,10,0.9898389461302447,0.986577545700309,False,False,down
REG3G,0.14068,0.34300061796502607,0.4921875,10,0.9898389461302447,0.986577545700309,False,False,up
PPIF,-0.1246,0.3430258589600779,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
NTRK3,-0.050440000000000006,0.3436905852383778,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
SOD3,0.14884444444444445,0.3436941612262799,0.5703125,9,0.9898389461302447,0.986577545700309,False,False,up
DBNL,-0.46216999999999997,0.3445534108082873,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
LGALS7_LGALS7B,-0.15848,0.3448021485815158,0.625,10,0.9898389461302447,0.986577545700309,False,False,down
TACC3,-0.4397800000000001,0.3448566532373303,0.431640625,10,0.9898389461302447,0.97517578125,False,False,down
ANKRA2,-1.0913555555555556,0.34531882169385975,0.65234375,9,0.9898389461302447,0.986577545700309,False,False,down
CASP3,-0.4099400000000001,0.3455235381592796,0.322265625,10,0.9898389461302447,0.97517578125,False,False,down
KIR3DL2,-0.16978888888888888,0.34580551325952436,0.30078125,9,0.9898389461302447,0.97517578125,False,False,down
TANK,0.3617666666666666,0.34581873955672887,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
REG3A,-0.051680000000000025,0.3461390044633774,0.375,10,0.9898389461302447,0.97517578125,False,False,down
INSR,0.11144444444444446,0.34633576254791476,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
HLA-DRA,0.14208749999999998,0.34650072791736497,0.3125,8,0.9898389461302447,0.97517578125,False,False,up
TNFRSF13C,0.13203333333333334,0.3465356386388259,0.30078125,9,0.9898389461302447,0.97517578125,False,False,up
TRIAP1,-0.27496,0.3471372865507464,0.375,10,0.9898389461302447,0.97517578125,False,False,down
FABP9,-0.10687499999999998,0.3480427540486684,0.3828125,8,0.9898389461302447,0.97517578125,False,False,down
F11,0.11337,0.3484887195055617,0.76953125,10,0.9898389461302447,1.0,False,False,up
CXCL16,-0.03784,0.3488153982530614,0.275390625,10,0.9898389461302447,0.97517578125,False,False,down
LILRB4,-0.16516666666666666,0.34892948156000225,0.42578125,9,0.9898389461302447,0.97517578125,False,False,down
GAMT,0.19246666666666667,0.3491938959795707,0.42578125,9,0.9898389461302447,0.97517578125,False,False,up
PRCP,-0.06173000000000002,0.3491944008132182,0.375,10,0.9898389461302447,0.97517578125,False,False,down
