protein,fc_pre,p_pre,fc_post,p_post,fc_interaction,p_interaction,fdr_pre,fdr_post,fdr_interaction
ADGRG2,0.16555,0.08835767617180995,0.05437777777777778,0.4253374372162436,-0.14289999999999997,0.19283878833873763,0.32653440577707876,0.6873715019479228,0.9471774407456163
ADH4,0.009239999999999988,0.8978545819471182,0.026077777777777773,0.7120323548868637,-0.002733333333333322,0.9747229014361254,0.955413531966908,0.8606368318951187,0.994306177352909
AGXT,0.12161,0.10204339643563312,0.0959888888888889,0.33235645564698835,-0.05464444444444443,0.658720204903968,0.3502377321587501,0.6075535912907466,0.9619401148472417
AHCY,0.29308999999999996,0.11516480446476711,0.3120222222222222,0.08276693751664066,0.11001111111111114,0.6933912021662734,0.3760346551265135,0.27118524335242755,0.9645754507407723
AK1,0.16409999999999997,0.6579005738087796,-0.08007777777777779,0.6741779174741923,-0.2955333333333334,0.5192138527487222,0.8515030334141825,0.843943213267651,0.9519862693342023
AKR1C4,0.07620999999999993,0.7910653093354922,0.11155555555555556,0.7037295076332746,0.031811111111111186,0.9444050151439057,0.9128632674107133,0.8543768357104378,0.9940568131447077
ALCAM,0.10343,0.0644548679689733,0.05449,0.22300852752202202,-0.04893999999999999,0.45707635928790225,0.2858293238383517,0.486052710578413,0.9471774407456163
AMY2A,0.05839000000000001,0.35054516560885474,0.08451,0.11538080800046002,0.026120000000000004,0.7015608395158668,0.6299546472832263,0.33266811963233717,0.9699697630577019
AMY2B,0.05451999999999999,0.39741738098321977,0.06573,0.2264713686083371,0.011210000000000008,0.848329288309609,0.668735547152749,0.49068796531806375,0.9921602299275276
ANG,0.10538,0.08741927826557788,0.19417,0.010983948307259598,0.08879000000000001,0.14492398171312953,0.32511118929654154,0.10183942584695803,0.9471774407456163
